x,similarity,locality,primer,log10x,adjusted
0.276,0.519191185,FennoScandian Shield,v6,-0.559090918,2.440909082
0.214,0.583370888,FennoScandian Shield,v6,-0.669586227,2.330413773
0.127,0.576827897,FennoScandian Shield,v6,-0.896196279,2.103803721
0.051,0.583078011,FennoScandian Shield,v6,-1.292429824,1.707570176
0.502,0.573476703,FennoScandian Shield,v6,-0.299296283,2.700703717
0.263,0.604996008,FennoScandian Shield,v6,-0.580044252,2.419955748
0.044,0.31703854,FennoScandian Shield,v6,-1.356547324,1.643452676
0.397,0.219967087,FennoScandian Shield,v6,-0.401209493,2.598790507
0.119,0.558759831,FennoScandian Shield,v6,-0.924453039,2.075546961
0.109,0.581959491,FennoScandian Shield,v6,-0.962573502,2.037426498
0.032,0.523061945,FennoScandian Shield,v6,-1.494850022,1.505149978
0.276,0.519191185,FennoScandian Shield,v6,-0.559090918,2.440909082
0.062,0.554751568,FennoScandian Shield,v6,-1.207608311,1.792391689
0.149,0.568907428,FennoScandian Shield,v6,-0.826813732,2.173186268
0.225,0.544518785,FennoScandian Shield,v6,-0.647817482,2.352182518
0.226,0.563865412,FennoScandian Shield,v6,-0.645891561,2.354108439
0.013,0.572831424,FennoScandian Shield,v6,-1.886056648,1.113943352
0.232,0.270720533,FennoScandian Shield,v6,-0.634512015,2.365487985
0.121,0.26364617,FennoScandian Shield,v6,-0.91721463,2.08278537
0.157,0.575212557,FennoScandian Shield,v6,-0.804100348,2.195899652
0.167,0.600514139,FennoScandian Shield,v6,-0.777283529,2.222716471
0.244,0.632733813,FennoScandian Shield,v6,-0.612610174,2.387389826
0.214,0.583370888,FennoScandian Shield,v6,-0.669586227,2.330413773
0.062,0.554751568,FennoScandian Shield,v6,-1.207608311,1.792391689
0.087,0.632408759,FennoScandian Shield,v6,-1.060480747,1.939519253
0.163,0.587030717,FennoScandian Shield,v6,-0.787812396,2.212187604
0.288,0.674506388,FennoScandian Shield,v6,-0.540607512,2.459392488
0.049,0.6041326,FennoScandian Shield,v6,-1.30980392,1.69019608
0.17,0.289002558,FennoScandian Shield,v6,-0.769551079,2.230448921
0.183,0.23229246,FennoScandian Shield,v6,-0.73754891,2.26245109
0.095,0.608941037,FennoScandian Shield,v6,-1.022276395,1.977723605
0.105,0.59516429,FennoScandian Shield,v6,-0.978810701,2.021189299
0.182,0.575360207,FennoScandian Shield,v6,-0.739928612,2.260071388
0.127,0.576827897,FennoScandian Shield,v6,-0.896196279,2.103803721
0.149,0.568907428,FennoScandian Shield,v6,-0.826813732,2.173186268
0.087,0.632408759,FennoScandian Shield,v6,-1.060480747,1.939519253
0.076,0.599071207,FennoScandian Shield,v6,-1.119186408,1.880813592
0.375,0.607649957,FennoScandian Shield,v6,-0.425968732,2.574031268
0.136,0.616229046,FennoScandian Shield,v6,-0.866461092,2.133538908
0.083,0.293847332,FennoScandian Shield,v6,-1.080921908,1.919078092
0.27,0.251424231,FennoScandian Shield,v6,-0.568636236,2.431363764
0.008,0.66310953,FennoScandian Shield,v6,-2.096910013,0.903089987
0.018,0.600371172,FennoScandian Shield,v6,-1.744727495,1.255272505
0.095,0.576966564,FennoScandian Shield,v6,-1.022276395,1.977723605
0.051,0.583078011,FennoScandian Shield,v6,-1.292429824,1.707570176
0.225,0.544518785,FennoScandian Shield,v6,-0.647817482,2.352182518
0.163,0.587030717,FennoScandian Shield,v6,-0.787812396,2.212187604
0.076,0.599071207,FennoScandian Shield,v6,-1.119186408,1.880813592
0.451,0.579562942,FennoScandian Shield,v6,-0.345823458,2.654176542
0.212,0.587659776,FennoScandian Shield,v6,-0.673664139,2.326335861
0.007,0.287752355,FennoScandian Shield,v6,-2.15490196,0.84509804
0.346,0.250514192,FennoScandian Shield,v6,-0.460923901,2.539076099
0.068,0.577959956,FennoScandian Shield,v6,-1.167491087,1.832508913
0.058,0.580666447,FennoScandian Shield,v6,-1.236572006,1.763427994
0.019,0.557456368,FennoScandian Shield,v6,-1.721246399,1.278753601
0.502,0.573476703,FennoScandian Shield,v6,-0.299296283,2.700703717
0.226,0.563865412,FennoScandian Shield,v6,-0.645891561,2.354108439
0.288,0.674506388,FennoScandian Shield,v6,-0.540607512,2.459392488
0.375,0.607649957,FennoScandian Shield,v6,-0.425968732,2.574031268
0.451,0.579562942,FennoScandian Shield,v6,-0.345823458,2.654176542
0.239,0.585632099,FennoScandian Shield,v6,-0.621602099,2.378397901
0.458,0.290396341,FennoScandian Shield,v6,-0.339134522,2.660865478
0.105,0.252262443,FennoScandian Shield,v6,-0.978810701,2.021189299
0.383,0.619012528,FennoScandian Shield,v6,-0.416801226,2.583198774
0.393,0.59901599,FennoScandian Shield,v6,-0.40560745,2.59439255
0.47,0.547760475,FennoScandian Shield,v6,-0.327902142,2.672097858
0.263,0.604996008,FennoScandian Shield,v6,-0.580044252,2.419955748
0.013,0.572831424,FennoScandian Shield,v6,-1.886056648,1.113943352
0.049,0.6041326,FennoScandian Shield,v6,-1.30980392,1.69019608
0.136,0.616229046,FennoScandian Shield,v6,-0.866461092,2.133538908
0.212,0.587659776,FennoScandian Shield,v6,-0.673664139,2.326335861
0.239,0.585632099,FennoScandian Shield,v6,-0.621602099,2.378397901
0.219,0.28945662,FennoScandian Shield,v6,-0.659555885,2.340444115
0.134,0.245382073,FennoScandian Shield,v6,-0.872895202,2.127104798
0.144,0.585748792,FennoScandian Shield,v6,-0.841637508,2.158362492
0.154,0.6372379,FennoScandian Shield,v6,-0.812479279,2.187520721
0.231,0.591957811,FennoScandian Shield,v6,-0.63638802,2.36361198
0.044,0.31703854,FennoScandian Shield,v6,-1.356547324,1.643452676
0.232,0.270720533,FennoScandian Shield,v6,-0.634512015,2.365487985
0.17,0.289002558,FennoScandian Shield,v6,-0.769551079,2.230448921
0.083,0.293847332,FennoScandian Shield,v6,-1.080921908,1.919078092
0.007,0.287752355,FennoScandian Shield,v6,-2.15490196,0.84509804
0.458,0.290396341,FennoScandian Shield,v6,-0.339134522,2.660865478
0.219,0.28945662,FennoScandian Shield,v6,-0.659555885,2.340444115
0.353,0.42142399,FennoScandian Shield,v6,-0.452225295,2.547774705
0.075,0.2954516,FennoScandian Shield,v6,-1.124938737,1.875061263
0.065,0.288327058,FennoScandian Shield,v6,-1.187086643,1.812913357
0.012,0.262533166,FennoScandian Shield,v6,-1.920818754,1.079181246
0.397,0.219967087,FennoScandian Shield,v6,-0.401209493,2.598790507
0.121,0.26364617,FennoScandian Shield,v6,-0.91721463,2.08278537
0.183,0.23229246,FennoScandian Shield,v6,-0.73754891,2.26245109
0.27,0.251424231,FennoScandian Shield,v6,-0.568636236,2.431363764
0.346,0.250514192,FennoScandian Shield,v6,-0.460923901,2.539076099
0.105,0.252262443,FennoScandian Shield,v6,-0.978810701,2.021189299
0.134,0.245382073,FennoScandian Shield,v6,-0.872895202,2.127104798
0.353,0.42142399,FennoScandian Shield,v6,-0.452225295,2.547774705
0.278,0.264128957,FennoScandian Shield,v6,-0.555955204,2.444044796
0.288,0.253492194,FennoScandian Shield,v6,-0.540607512,2.459392488
0.365,0.235575876,FennoScandian Shield,v6,-0.437707136,2.562292864
0.119,0.558759831,FennoScandian Shield,v6,-0.924453039,2.075546961
0.157,0.575212557,FennoScandian Shield,v6,-0.804100348,2.195899652
0.095,0.608941037,FennoScandian Shield,v6,-1.022276395,1.977723605
0.008,0.66310953,FennoScandian Shield,v6,-2.096910013,0.903089987
0.068,0.577959956,FennoScandian Shield,v6,-1.167491087,1.832508913
0.383,0.619012528,FennoScandian Shield,v6,-0.416801226,2.583198774
0.144,0.585748792,FennoScandian Shield,v6,-0.841637508,2.158362492
0.075,0.2954516,FennoScandian Shield,v6,-1.124938737,1.875061263
0.278,0.264128957,FennoScandian Shield,v6,-0.555955204,2.444044796
0.01,0.611749882,FennoScandian Shield,v6,-2,1
0.087,0.556799473,FennoScandian Shield,v6,-1.060480747,1.939519253
0.109,0.581959491,FennoScandian Shield,v6,-0.962573502,2.037426498
0.167,0.600514139,FennoScandian Shield,v6,-0.777283529,2.222716471
0.105,0.59516429,FennoScandian Shield,v6,-0.978810701,2.021189299
0.018,0.600371172,FennoScandian Shield,v6,-1.744727495,1.255272505
0.058,0.580666447,FennoScandian Shield,v6,-1.236572006,1.763427994
0.393,0.59901599,FennoScandian Shield,v6,-0.40560745,2.59439255
0.154,0.6372379,FennoScandian Shield,v6,-0.812479279,2.187520721
0.065,0.288327058,FennoScandian Shield,v6,-1.187086643,1.812913357
0.288,0.253492194,FennoScandian Shield,v6,-0.540607512,2.459392488
0.01,0.611749882,FennoScandian Shield,v6,-2,1
0.077,0.582081823,FennoScandian Shield,v6,-1.113509275,1.886490725
0.032,0.523061945,FennoScandian Shield,v6,-1.494850022,1.505149978
0.244,0.632733813,FennoScandian Shield,v6,-0.612610174,2.387389826
0.182,0.575360207,FennoScandian Shield,v6,-0.739928612,2.260071388
0.095,0.576966564,FennoScandian Shield,v6,-1.022276395,1.977723605
0.019,0.557456368,FennoScandian Shield,v6,-1.721246399,1.278753601
0.47,0.547760475,FennoScandian Shield,v6,-0.327902142,2.672097858
0.231,0.591957811,FennoScandian Shield,v6,-0.63638802,2.36361198
0.012,0.262533166,FennoScandian Shield,v6,-1.920818754,1.079181246
0.365,0.235575876,FennoScandian Shield,v6,-0.437707136,2.562292864
0.087,0.556799473,FennoScandian Shield,v6,-1.060480747,1.939519253
0.077,0.582081823,FennoScandian Shield,v6,-1.113509275,1.886490725
0.048,0.636734694,Iceland,v6v4,-1.318758763,0.639848552
0.095,0.690265487,Iceland,v6v4,-1.022276395,0.93633092
0.157325031,0.584615385,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.655870445,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.588652482,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.653225806,Iceland,v6v4,-0.803202174,1.155405141
0.048,0.636734694,Iceland,v6v4,-1.318758763,0.639848552
0.047,0.757990868,Iceland,v6v4,-1.327902142,0.630705173
0.157325031,0.703557312,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.708333333,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.698181818,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.738589212,Iceland,v6v4,-0.803202174,1.155405141
0.095,0.690265487,Iceland,v6v4,-1.022276395,0.93633092
0.047,0.757990868,Iceland,v6v4,-1.327902142,0.630705173
0.157325031,0.700854701,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.7239819,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.6796875,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.747747748,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.584615385,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.703557312,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.700854701,Iceland,v6v4,-0.803202174,1.155405141
0.104,0.682352941,Iceland,v6v4,-0.982966661,0.975640654
0.011,0.64137931,Iceland,v6v4,-1.958607315,0
0.052,0.6484375,Iceland,v6v4,-1.283996656,0.674610658
0.157325031,0.655870445,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.708333333,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.7239819,Iceland,v6v4,-0.803202174,1.155405141
0.104,0.682352941,Iceland,v6v4,-0.982966661,0.975640654
0.093,0.685920578,Iceland,v6v4,-1.031517051,0.927090263
0.052,0.732510288,Iceland,v6v4,-1.283996656,0.674610658
0.157325031,0.588652482,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.698181818,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.6796875,Iceland,v6v4,-0.803202174,1.155405141
0.011,0.64137931,Iceland,v6v4,-1.958607315,0
0.093,0.685920578,Iceland,v6v4,-1.031517051,0.927090263
0.041,0.683453237,Iceland,v6v4,-1.387216143,0.571391172
0.157325031,0.653225806,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.738589212,Iceland,v6v4,-0.803202174,1.155405141
0.157325031,0.747747748,Iceland,v6v4,-0.803202174,1.155405141
0.052,0.6484375,Iceland,v6v4,-1.283996656,0.674610658
0.052,0.732510288,Iceland,v6v4,-1.283996656,0.674610658
0.041,0.683453237,Iceland,v6v4,-1.387216143,0.571391172
213.4949779,0.552899759,South Africa,v6,2.329387663,1.44353295
328.9126023,0.57972107,South Africa,v6,2.517080514,1.6312258
30.26914873,0.54556942,South Africa,v6,1.481000207,0.595145494
381.8077226,0.546180888,South Africa,v6,2.581844708,1.695989995
211.4350343,0.551774607,South Africa,v6,2.325176951,1.439322237
213.4949779,0.509001637,South Africa,v6,2.329387663,1.44353295
328.9126023,0.551254361,South Africa,v6,2.517080514,1.6312258
30.26914873,0.5959682,South Africa,v6,1.481000207,0.595145494
381.8077226,0.599913929,South Africa,v6,2.581844708,1.695989995
211.4350343,0.516912122,South Africa,v6,2.325176951,1.439322237
213.4949779,0.552899759,South Africa,v6,2.329387663,1.44353295
213.4949779,0.509001637,South Africa,v6,2.329387663,1.44353295
456.1901259,0.585726872,South Africa,v6,2.659145881,1.773291167
183.3317985,0.631044776,South Africa,v6,2.263237799,1.377383085
177.0132128,0.56013279,South Africa,v6,2.248005685,1.362150971
7.688731829,0.606341045,South Africa,v6,0.885854714,0
328.9126023,0.57972107,South Africa,v6,2.517080514,1.6312258
328.9126023,0.551254361,South Africa,v6,2.517080514,1.6312258
456.1901259,0.585726872,South Africa,v6,2.659145881,1.773291167
339.6520496,0.566802845,South Africa,v6,2.53103424,1.645179526
552.2927528,0.57129743,South Africa,v6,2.742169344,1.856314631
449.6722442,0.595752089,South Africa,v6,2.652896082,1.767041368
30.26914873,0.54556942,South Africa,v6,1.481000207,0.595145494
30.26914873,0.5959682,South Africa,v6,1.481000207,0.595145494
183.3317985,0.631044776,South Africa,v6,2.263237799,1.377383085
339.6520496,0.566802845,South Africa,v6,2.53103424,1.645179526
351.7548646,0.639068906,South Africa,v6,2.546240112,1.660385399
181.1980469,0.562860098,South Africa,v6,2.258153512,1.372298799
381.8077226,0.546180888,South Africa,v6,2.581844708,1.695989995
381.8077226,0.599913929,South Africa,v6,2.581844708,1.695989995
177.0132128,0.56013279,South Africa,v6,2.248005685,1.362150971
552.2927528,0.57129743,South Africa,v6,2.742169344,1.856314631
351.7548646,0.639068906,South Africa,v6,2.546240112,1.660385399
176.1341688,0.613201912,South Africa,v6,2.245843614,1.359988901
211.4350343,0.551774607,South Africa,v6,2.325176951,1.439322237
211.4350343,0.516912122,South Africa,v6,2.325176951,1.439322237
7.688731829,0.606341045,South Africa,v6,0.885854714,0
449.6722442,0.595752089,South Africa,v6,2.652896082,1.767041368
181.1980469,0.562860098,South Africa,v6,2.258153512,1.372298799
176.1341688,0.613201912,South Africa,v6,2.245843614,1.359988901
0.142,0.521582734,USA,v6v4,-0.847711656,0.466546606
0.2525,0.430641822,USA,v6v4,-0.597738618,0.716519644
0.416,0.273239437,USA,v6v4,-0.380906669,0.933351592
0.4645,0.329411765,USA,v6v4,-0.333014282,0.98124398
0.742,0.186915888,USA,v6v4,-0.129596095,1.184662167
0.142,0.521582734,USA,v6v4,-0.847711656,0.466546606
0.1105,0.553672316,USA,v6v4,-0.956637722,0.357620539
0.274,0.411609499,USA,v6v4,-0.562249437,0.752008824
0.3225,0.376321353,USA,v6v4,-0.491470281,0.82278798
0.6,0.197478992,USA,v6v4,-0.22184875,1.092409512
0.2525,0.430641822,USA,v6v4,-0.597738618,0.716519644
0.1105,0.553672316,USA,v6v4,-0.956637722,0.357620539
0.1635,0.41459854,USA,v6v4,-0.786482243,0.527776018
0.212,0.465,USA,v6v4,-0.673664139,0.640594122
0.4895,0.248138958,USA,v6v4,-0.310247304,1.004010958
0.416,0.273239437,USA,v6v4,-0.380906669,0.933351592
0.274,0.411609499,USA,v6v4,-0.562249437,0.752008824
0.1635,0.41459854,USA,v6v4,-0.786482243,0.527776018
0.0485,0.28708134,USA,v6v4,-1.314258261,0
0.326,0.171428571,USA,v6v4,-0.4867824,0.827475861
0.4645,0.329411765,USA,v6v4,-0.333014282,0.98124398
0.3225,0.376321353,USA,v6v4,-0.491470281,0.82278798
0.212,0.465,USA,v6v4,-0.673664139,0.640594122
0.0485,0.28708134,USA,v6v4,-1.314258261,0
0.2775,0.313043478,USA,v6v4,-0.556737013,0.757521249
0.742,0.186915888,USA,v6v4,-0.129596095,1.184662167
0.6,0.197478992,USA,v6v4,-0.22184875,1.092409512
0.4895,0.248138958,USA,v6v4,-0.310247304,1.004010958
0.326,0.171428571,USA,v6v4,-0.4867824,0.827475861
0.2775,0.313043478,USA,v6v4,-0.556737013,0.757521249